Index coax_placement_x  coax_placement_y  substrate_permittivity
  261 -6.6666666667E-01 +6.3333333333E+00 +3.0666666667E+00     
  262 -6.6666666667E-01 +7.0000000000E+00 +3.0666666667E+00     
  263 -6.6666666667E-01 +7.6666666667E+00 +3.0666666667E+00     
  264 -6.6666666667E-01 +8.3333333333E+00 +3.0666666667E+00     
  265 -6.6666666667E-01 +9.0000000000E+00 +3.0666666667E+00     
  266 +0.0000000000E+00 +5.0000000000E+00 +3.0666666667E+00     
  267 +0.0000000000E+00 +5.6666666667E+00 +3.0666666667E+00     
  268 +0.0000000000E+00 +6.3333333333E+00 +3.0666666667E+00     
  269 +0.0000000000E+00 +7.0000000000E+00 +3.0666666667E+00     
  270 +0.0000000000E+00 +7.6666666667E+00 +3.0666666667E+00     
  271 +0.0000000000E+00 +8.3333333333E+00 +3.0666666667E+00     
  272 +0.0000000000E+00 +9.0000000000E+00 +3.0666666667E+00     
  273 +6.6666666667E-01 +5.0000000000E+00 +3.0666666667E+00     
  274 +6.6666666667E-01 +5.6666666667E+00 +3.0666666667E+00     
  275 +6.6666666667E-01 +6.3333333333E+00 +3.0666666667E+00     
  276 +6.6666666667E-01 +7.0000000000E+00 +3.0666666667E+00     
  277 +6.6666666667E-01 +7.6666666667E+00 +3.0666666667E+00     
  278 +6.6666666667E-01 +8.3333333333E+00 +3.0666666667E+00     
  279 +6.6666666667E-01 +9.0000000000E+00 +3.0666666667E+00     
  280 +1.3333333333E+00 +5.0000000000E+00 +3.0666666667E+00     
  281 +1.3333333333E+00 +5.6666666667E+00 +3.0666666667E+00     
  282 +1.3333333333E+00 +6.3333333333E+00 +3.0666666667E+00     
  283 +1.3333333333E+00 +7.0000000000E+00 +3.0666666667E+00     
  284 +1.3333333333E+00 +7.6666666667E+00 +3.0666666667E+00     
  285 +1.3333333333E+00 +8.3333333333E+00 +3.0666666667E+00     
  286 +1.3333333333E+00 +9.0000000000E+00 +3.0666666667E+00     
  287 +2.0000000000E+00 +5.0000000000E+00 +3.0666666667E+00     
  288 +2.0000000000E+00 +5.6666666667E+00 +3.0666666667E+00     
  289 +2.0000000000E+00 +6.3333333333E+00 +3.0666666667E+00     
  290 +2.0000000000E+00 +7.0000000000E+00 +3.0666666667E+00     
  291 +2.0000000000E+00 +7.6666666667E+00 +3.0666666667E+00     
  292 +2.0000000000E+00 +8.3333333333E+00 +3.0666666667E+00     
  293 +2.0000000000E+00 +9.0000000000E+00 +3.0666666667E+00     
  294 -2.0000000000E+00 +5.0000000000E+00 +3.1000000000E+00     
  295 -2.0000000000E+00 +5.6666666667E+00 +3.1000000000E+00     
  296 -2.0000000000E+00 +6.3333333333E+00 +3.1000000000E+00     
  297 -2.0000000000E+00 +7.0000000000E+00 +3.1000000000E+00     
  298 -2.0000000000E+00 +7.6666666667E+00 +3.1000000000E+00     
  299 -2.0000000000E+00 +8.3333333333E+00 +3.1000000000E+00     
  300 -2.0000000000E+00 +9.0000000000E+00 +3.1000000000E+00     
  301 -1.3333333333E+00 +5.0000000000E+00 +3.1000000000E+00     
  302 -1.3333333333E+00 +5.6666666667E+00 +3.1000000000E+00     
  303 -1.3333333333E+00 +6.3333333333E+00 +3.1000000000E+00     
  304 -1.3333333333E+00 +7.0000000000E+00 +3.1000000000E+00     
  305 -1.3333333333E+00 +7.6666666667E+00 +3.1000000000E+00     
  306 -1.3333333333E+00 +8.3333333333E+00 +3.1000000000E+00     
  307 -1.3333333333E+00 +9.0000000000E+00 +3.1000000000E+00     
  308 -6.6666666667E-01 +5.0000000000E+00 +3.1000000000E+00     
  309 -6.6666666667E-01 +5.6666666667E+00 +3.1000000000E+00     
  310 -6.6666666667E-01 +6.3333333333E+00 +3.1000000000E+00     
  311 -6.6666666667E-01 +7.0000000000E+00 +3.1000000000E+00     
  312 -6.6666666667E-01 +7.6666666667E+00 +3.1000000000E+00     
  313 -6.6666666667E-01 +8.3333333333E+00 +3.1000000000E+00     
  314 -6.6666666667E-01 +9.0000000000E+00 +3.1000000000E+00     
  315 +0.0000000000E+00 +5.0000000000E+00 +3.1000000000E+00     
  316 +0.0000000000E+00 +5.6666666667E+00 +3.1000000000E+00     
  317 +0.0000000000E+00 +6.3333333333E+00 +3.1000000000E+00     
  318 +0.0000000000E+00 +7.0000000000E+00 +3.1000000000E+00     
  319 +0.0000000000E+00 +7.6666666667E+00 +3.1000000000E+00     
  320 +0.0000000000E+00 +8.3333333333E+00 +3.1000000000E+00     
  321 +0.0000000000E+00 +9.0000000000E+00 +3.1000000000E+00     
  322 +6.6666666667E-01 +5.0000000000E+00 +3.1000000000E+00     
  323 +6.6666666667E-01 +5.6666666667E+00 +3.1000000000E+00     
  324 +6.6666666667E-01 +6.3333333333E+00 +3.1000000000E+00     
